"id","subject","category","difficulty","type","prompt","asset","explanation","errors","warnings"
"group_017","화학","원자 구조","초급","numeric","Cl의 족은?","","Cl은 17족 원소입니다.","0","0"
"period_018","화학","원자 구조","초급","numeric","Ar의 주기는?","","Ar은 3주기 원소입니다.","0","0"
"group_018","화학","원자 구조","초급","numeric","Ar의 족은?","","Ar은 18족 원소입니다.","0","0"
"period_019","화학","원자 구조","초급","numeric","K의 주기는?","","K은 4주기 원소입니다.","0","0"
"group_019","화학","원자 구조","초급","numeric","K의 족은?","","K은 1족 원소입니다.","0","0"
"period_020","화학","원자 구조","초급","numeric","Ca의 주기는?","","Ca은 4주기 원소입니다.","0","0"
"group_020","화학","원자 구조","초급","numeric","Ca의 족은?","","Ca은 2족 원소입니다.","0","0"
"valence_electron_001","화학","원자 구조","초급","numeric","H의 원자가 전자 수는?","","H의 원자가 전자 수는 1개입니다.","0","0"
"valence_electron_002","화학","원자 구조","초급","numeric","He의 원자가 전자 수는?","","He의 원자가 전자 수는 0개입니다.","0","0"
"valence_electron_003","화학","원자 구조","초급","numeric","Li의 원자가 전자 수는?","","Li의 원자가 전자 수는 1개입니다.","0","0"
"valence_electron_004","화학","원자 구조","초급","numeric","Be의 원자가 전자 수는?","","Be의 원자가 전자 수는 2개입니다.","0","0"
"valence_electron_005","화학","원자 구조","초급","numeric","B의 원자가 전자 수는?","","B의 원자가 전자 수는 3개입니다.","0","0"
"valence_electron_006","화학","원자 구조","초급","numeric","C의 원자가 전자 수는?","","C의 원자가 전자 수는 4개입니다.","0","0"
"valence_electron_007","화학","원자 구조","초급","numeric","N의 원자가 전자 수는?","","N의 원자가 전자 수는 5개입니다.","0","0"
"valence_electron_008","화학","원자 구조","초급","numeric","O의 원자가 전자 수는?","","O의 원자가 전자 수는 6개입니다.","0","0"
"valence_electron_009","화학","원자 구조","초급","numeric","F의 원자가 전자 수는?","","F의 원자가 전자 수는 7개입니다.","0","0"
"valence_electron_010","화학","원자 구조","초급","numeric","Ne의 원자가 전자 수는?","","Ne의 원자가 전자 수는 0개입니다.","0","0"
"valence_electron_011","화학","원자 구조","초급","numeric","Na의 원자가 전자 수는?","","Na의 원자가 전자 수는 1개입니다.","0","0"
"valence_electron_012","화학","원자 구조","초급","numeric","Mg의 원자가 전자 수는?","","Mg의 원자가 전자 수는 2개입니다.","0","0"
"valence_electron_013","화학","원자 구조","초급","numeric","Al의 원자가 전자 수는?","","Al의 원자가 전자 수는 3개입니다.","0","0"
"valence_electron_014","화학","원자 구조","초급","numeric","Si의 원자가 전자 수는?","","Si의 원자가 전자 수는 4개입니다.","0","0"
"valence_electron_015","화학","원자 구조","초급","numeric","P의 원자가 전자 수는?","","P의 원자가 전자 수는 5개입니다.","0","0"
"valence_electron_016","화학","원자 구조","초급","numeric","S의 원자가 전자 수는?","","S의 원자가 전자 수는 6개입니다.","0","0"
"valence_electron_017","화학","원자 구조","초급","numeric","Cl의 원자가 전자 수는?","","Cl의 원자가 전자 수는 7개입니다.","0","0"
"valence_electron_018","화학","원자 구조","초급","numeric","Ar의 원자가 전자 수는?","","Ar의 원자가 전자 수는 0개입니다.","0","0"
"valence_electron_019","화학","원자 구조","초급","numeric","K의 원자가 전자 수는?","","K의 원자가 전자 수는 1개입니다.","0","0"
"valence_electron_020","화학","원자 구조","초급","numeric","Ca의 원자가 전자 수는?","","Ca의 원자가 전자 수는 2개입니다.","0","0"
"electron_configuration_1","화학","원자 구조","초급","short_answer","H의 껍질별 전자 수를 쉼표로 구분해 쓰면?","","H의 전자 배치는 1이다.","0","0"
"electron_configuration_2","화학","원자 구조","초급","short_answer","He의 껍질별 전자 수를 쉼표로 구분해 쓰면?","","He의 전자 배치는 2이다.","0","0"
"electron_configuration_3","화학","원자 구조","초급","short_answer","Li의 껍질별 전자 수를 쉼표로 구분해 쓰면?","","Li의 전자 배치는 2,1이다.","0","0"
"electron_configuration_4","화학","원자 구조","초급","short_answer","C의 껍질별 전자 수를 쉼표로 구분해 쓰면?","","C의 전자 배치는 2,4이다.","0","0"
"electron_configuration_5","화학","원자 구조","초급","short_answer","O의 껍질별 전자 수를 쉼표로 구분해 쓰면?","","O의 전자 배치는 2,6이다.","0","0"
"electron_configuration_6","화학","원자 구조","초급","short_answer","Ne의 껍질별 전자 수를 쉼표로 구분해 쓰면?","","Ne의 전자 배치는 2,8이다.","0","0"
"electron_configuration_7","화학","원자 구조","중급","short_answer","Na의 껍질별 전자 수를 쉼표로 구분해 쓰면?","","Na의 전자 배치는 2,8,1이다.","0","0"
"electron_configuration_8","화학","원자 구조","중급","short_answer","Mg의 껍질별 전자 수를 쉼표로 구분해 쓰면?","","Mg의 전자 배치는 2,8,2이다.","0","0"
"electron_configuration_9","화학","원자 구조","중급","short_answer","Al의 껍질별 전자 수를 쉼표로 구분해 쓰면?","","Al의 전자 배치는 2,8,3이다.","0","0"
"electron_configuration_10","화학","원자 구조","중급","short_answer","Cl의 껍질별 전자 수를 쉼표로 구분해 쓰면?","","Cl의 전자 배치는 2,8,7이다.","0","0"
"electron_configuration_11","화학","원자 구조","중급","short_answer","Ar의 껍질별 전자 수를 쉼표로 구분해 쓰면?","","Ar의 전자 배치는 2,8,8이다.","0","0"
"electron_configuration_12","화학","원자 구조","고급","short_answer","K의 껍질별 전자 수를 쉼표로 구분해 쓰면?","","K의 전자 배치는 2,8,8,1이다.","0","0"
"electron_configuration_13","화학","원자 구조","고급","short_answer","Ca의 껍질별 전자 수를 쉼표로 구분해 쓰면?","","Ca의 전자 배치는 2,8,8,2이다.","0","0"
"ion_charge_001","화학","원자 구조","초급","short_answer","H⁺의 전하는?","","H⁺의 전하는 +1이다.","0","0"
"ion_charge_002","화학","원자 구조","초급","short_answer","Li⁺의 전하는?","","Li⁺의 전하는 +1이다.","0","0"
"ion_charge_003","화학","원자 구조","초급","short_answer","Na⁺의 전하는?","","Na⁺의 전하는 +1이다.","0","0"
"ion_charge_004","화학","원자 구조","초급","short_answer","K⁺의 전하는?","","K⁺의 전하는 +1이다.","0","0"
"ion_charge_005","화학","원자 구조","초급","short_answer","Be²⁺의 전하는?","","Be²⁺의 전하는 +2이다.","0","0"
"ion_charge_006","화학","원자 구조","초급","short_answer","Mg²⁺의 전하는?","","Mg²⁺의 전하는 +2이다.","0","0"
"ion_charge_007","화학","원자 구조","초급","short_answer","Ca²⁺의 전하는?","","Ca²⁺의 전하는 +2이다.","0","0"
"ion_charge_008","화학","원자 구조","초급","short_answer","Al³⁺의 전하는?","","Al³⁺의 전하는 +3이다.","0","0"
"ion_charge_009","화학","원자 구조","중급","short_answer","F⁻의 전하는?","","F⁻의 전하는 -1이다.","0","0"
"ion_charge_010","화학","원자 구조","중급","short_answer","Cl⁻의 전하는?","","Cl⁻의 전하는 -1이다.","0","0"
"ion_charge_011","화학","원자 구조","고급","short_answer","O²⁻의 전하는?","","O²⁻의 전하는 -2이다.","0","0"
"ion_charge_012","화학","원자 구조","고급","short_answer","S²⁻의 전하는?","","S²⁻의 전하는 -2이다.","0","0"
"ion_charge_013","화학","원자 구조","고급","short_answer","N³⁻의 전하는?","","N³⁻의 전하는 -3이다.","0","0"
"electronegativity_value_001","화학","주기적 성질","초급","numeric","H의 전기 음성도 값을 소수 첫째 자리까지 입력하세요.","","H의 전기 음성도는 2.1입니다.","0","0"
"electronegativity_value_002","화학","주기적 성질","초급","numeric","Li의 전기 음성도 값을 소수 첫째 자리까지 입력하세요.","","Li의 전기 음성도는 1.0입니다.","0","0"
"electronegativity_value_003","화학","주기적 성질","초급","numeric","Be의 전기 음성도 값을 소수 첫째 자리까지 입력하세요.","","Be의 전기 음성도는 1.5입니다.","0","0"
"electronegativity_value_004","화학","주기적 성질","초급","numeric","B의 전기 음성도 값을 소수 첫째 자리까지 입력하세요.","","B의 전기 음성도는 2.0입니다.","0","0"
"electronegativity_value_005","화학","주기적 성질","초급","numeric","C의 전기 음성도 값을 소수 첫째 자리까지 입력하세요.","","C의 전기 음성도는 2.5입니다.","0","0"
"electronegativity_value_006","화학","주기적 성질","초급","numeric","N의 전기 음성도 값을 소수 첫째 자리까지 입력하세요.","","N의 전기 음성도는 3.0입니다.","0","0"
"electronegativity_value_007","화학","주기적 성질","초급","numeric","O의 전기 음성도 값을 소수 첫째 자리까지 입력하세요.","","O의 전기 음성도는 3.5입니다.","0","0"
"electronegativity_value_008","화학","주기적 성질","초급","numeric","F의 전기 음성도 값을 소수 첫째 자리까지 입력하세요.","","F의 전기 음성도는 4.0입니다.","0","0"
"electronegativity_value_009","화학","주기적 성질","초급","numeric","Na의 전기 음성도 값을 소수 첫째 자리까지 입력하세요.","","Na의 전기 음성도는 0.9입니다.","0","0"
"electronegativity_value_010","화학","주기적 성질","초급","numeric","Mg의 전기 음성도 값을 소수 첫째 자리까지 입력하세요.","","Mg의 전기 음성도는 1.2입니다.","0","0"
"electronegativity_value_011","화학","주기적 성질","초급","numeric","Al의 전기 음성도 값을 소수 첫째 자리까지 입력하세요.","","Al의 전기 음성도는 1.5입니다.","0","0"
"electronegativity_value_012","화학","주기적 성질","초급","numeric","Si의 전기 음성도 값을 소수 첫째 자리까지 입력하세요.","","Si의 전기 음성도는 1.8입니다.","0","0"
"electronegativity_value_013","화학","주기적 성질","초급","numeric","P의 전기 음성도 값을 소수 첫째 자리까지 입력하세요.","","P의 전기 음성도는 2.1입니다.","0","0"
"electronegativity_value_014","화학","주기적 성질","초급","numeric","S의 전기 음성도 값을 소수 첫째 자리까지 입력하세요.","","S의 전기 음성도는 2.5입니다.","0","0"
"electronegativity_value_015","화학","주기적 성질","초급","numeric","Cl의 전기 음성도 값을 소수 첫째 자리까지 입력하세요.","","Cl의 전기 음성도는 3.0입니다.","0","0"
"electronegativity_value_016","화학","주기적 성질","초급","numeric","K의 전기 음성도 값을 소수 첫째 자리까지 입력하세요.","","K의 전기 음성도는 0.8입니다.","0","0"
"electronegativity_value_017","화학","주기적 성질","초급","numeric","Ca의 전기 음성도 값을 소수 첫째 자리까지 입력하세요.","","Ca의 전기 음성도는 1.0입니다.","0","0"
"electronegativity_compare_1","화학","주기적 성질","중급","multiple_choice","Li와 F 중 전기 음성도가 큰 원소는?","","F의 전기 음성도가 더 큽니다.","0","0"
"electronegativity_compare_2","화학","주기적 성질","중급","multiple_choice","Na와 Cl 중 전기 음성도가 큰 원소는?","","Cl의 전기 음성도가 더 큽니다.","0","0"
"electronegativity_compare_3","화학","주기적 성질","중급","multiple_choice","Mg와 O 중 전기 음성도가 큰 원소는?","","O의 전기 음성도가 더 큽니다.","0","0"
"electronegativity_compare_4","화학","주기적 성질","중급","multiple_choice","Al와 S 중 전기 음성도가 큰 원소는?","","S의 전기 음성도가 더 큽니다.","0","0"
"electronegativity_compare_5","화학","주기적 성질","중급","multiple_choice","C와 N 중 전기 음성도가 큰 원소는?","","N의 전기 음성도가 더 큽니다.","0","0"
"electronegativity_compare_6","화학","주기적 성질","중급","multiple_choice","K와 Ca 중 전기 음성도가 큰 원소는?","","Ca의 전기 음성도가 더 큽니다.","0","0"
"electronegativity_difference_1","화학","주기적 성질","고급","numeric","H와 Cl의 전기 음성도 차를 소수 첫째 자리까지 입력하세요.","","차는 |2.1-3.0|=0.9입니다.","0","0"
"electronegativity_difference_2","화학","주기적 성질","고급","numeric","C와 O의 전기 음성도 차를 소수 첫째 자리까지 입력하세요.","","차는 |2.5-3.5|=1.0입니다.","0","0"
"electronegativity_difference_3","화학","주기적 성질","고급","numeric","Na와 Cl의 전기 음성도 차를 소수 첫째 자리까지 입력하세요.","","차는 |0.9-3.0|=2.1입니다.","0","0"
"electronegativity_difference_4","화학","주기적 성질","고급","numeric","Mg와 O의 전기 음성도 차를 소수 첫째 자리까지 입력하세요.","","차는 |1.2-3.5|=2.3입니다.","0","0"
"electronegativity_difference_5","화학","주기적 성질","고급","numeric","P와 Cl의 전기 음성도 차를 소수 첫째 자리까지 입력하세요.","","차는 |2.1-3.0|=0.9입니다.","0","0"
"electronegativity_difference_6","화학","주기적 성질","고급","numeric","S와 O의 전기 음성도 차를 소수 첫째 자리까지 입력하세요.","","차는 |2.5-3.5|=1.0입니다.","0","0"
"atomic_radius_001","화학","주기적 성질","초급","multiple_choice","Li와 F 중 원자 반지름이 큰 원소는?","","같은 주기에서는 왼쪽 원소가 더 크다.","0","0"
"atomic_radius_002","화학","주기적 성질","초급","multiple_choice","Li와 Na 중 원자 반지름이 큰 원소는?","","같은 족에서는 아래쪽 원소가 더 크다.","0","0"
"atomic_radius_003","화학","주기적 성질","중급","multiple_choice","Na와 Cl 중 원자 반지름이 큰 원소는?","","3주기에서 Na가 더 크다.","0","0"
"atomic_radius_004","화학","주기적 성질","고급","multiple_choice","Mg, Al, Si 중 원자 반지름이 가장 작은 원소는?","","같은 주기에서 오른쪽으로 갈수록 작아진다.","0","0"
"ionization_energy_001","화학","주기적 성질","초급","multiple_choice","Li와 F 중 1차 이온화 에너지가 큰 원소는?","","같은 주기에서 대체로 오른쪽으로 갈수록 커진다.","0","0"
"ionization_energy_002","화학","주기적 성질","초급","multiple_choice","Li와 Na 중 1차 이온화 에너지가 큰 원소는?","","같은 족에서 위쪽 원소가 더 크다.","0","0"
"ionization_energy_003","화학","주기적 성질","중급","multiple_choice","Na와 Cl 중 1차 이온화 에너지가 큰 원소는?","","같은 주기의 Cl이 더 크다.","0","0"
"ionization_energy_004","화학","주기적 성질","고급","multiple_choice","족 아래로 갈수록 1차 이온화 에너지는 대체로?","","원자 크기와 차폐가 커져 감소한다.","0","0"
"bond_type_001","화학","화학 결합","초급","multiple_choice","NaCl의 주된 결합 종류는?","","금속 Na와 비금속 Cl 사이의 이온 결합이다.","0","0"
"bond_type_002","화학","화학 결합","초급","multiple_choice","H₂O 분자 안의 O-H 결합은?","","비금속 원자 사이의 공유 결합이다.","0","0"
"bond_type_003","화학","화학 결합","중급","multiple_choice","고체 Mg에서 주된 결합은?","","마그네슘 원자 사이에는 금속 결합이 있다.","0","0"
"bond_type_004","화학","화학 결합","고급","multiple_choice","MgO의 주된 결합은?","","Mg²⁺와 O²⁻의 이온 결합이다.","0","0"
"bond_polarity_001","화학","화학 결합","초급","multiple_choice","Cl-Cl 결합의 분류는?","","같은 원자 사이 전기 음성도 차이는 0이다.","0","0"
"bond_polarity_002","화학","화학 결합","초급","multiple_choice","H-Cl 결합의 분류는?","","전기 음성도 차이가 있는 공유 결합이다.","0","0"
"bond_polarity_003","화학","화학 결합","중급","multiple_choice","Na-Cl 결합의 교육용 분류는?","","큰 전기 음성도 차이와 이온 형성으로 이온 결합이다.","0","0"
"bond_polarity_004","화학","화학 결합","고급","multiple_choice","C-H와 O-H 중 더 극성인 결합은?","","O-H의 전기 음성도 차이가 더 크다.","0","0"
"ionic_formula_001","화학","화학 결합","초급","short_answer","Na⁺와 Cl⁻로 이루어진 화합물의 화학식은?","","전하가 1:1로 상쇄된다.","0","0"
"ionic_formula_002","화학","화학 결합","초급","short_answer","Mg²⁺와 Cl⁻로 이루어진 화합물의 화학식은?","","Mg²⁺ 하나에 Cl⁻ 두 개가 필요하다.","0","0"
"ionic_formula_003","화학","화학 결합","중급","short_answer","Al³⁺와 O²⁻로 이루어진 화합물의 화학식은?","","최소공배수 6으로 전하를 상쇄한다.","0","0"
"ionic_formula_004","화학","화학 결합","고급","short_answer","Ca²⁺와 N³⁻로 이루어진 화합물의 화학식은?","","Ca²⁺ 3개와 N³⁻ 2개가 필요하다.","0","0"
"formula_mass_001","화학","화학량론","초급","short_answer","H₂O의 분자량은? (H=1, O=16)","","2×1+16=18이다.","0","0"
"formula_mass_002","화학","화학량론","초급","short_answer","CO₂의 분자량은? (C=12, O=16)","","12+2×16=44이다.","0","0"
"formula_mass_003","화학","화학량론","중급","short_answer","NaCl의 화학식량은? (Na=23, Cl=35.5)","","23+35.5=58.5이다.","0","0"
"formula_mass_004","화학","화학량론","중급","short_answer","CaCO₃의 화학식량은? (Ca=40,C=12,O=16)","","40+12+48=100이다.","0","0"
"formula_mass_005","화학","화학량론","고급","short_answer","H₂SO₄의 분자량은? (H=1,S=32,O=16)","","2+32+64=98이다.","0","0"
"mole_mass_mass_001","화학","화학량론","초급","numeric","H2 1 mol의 질량은 몇 g인가? (몰질량 2 g/mol)","","1×2=2 g입니다.","0","0"
"mole_mass_mass_002","화학","화학량론","초급","numeric","O2 2 mol의 질량은 몇 g인가? (몰질량 32 g/mol)","","2×32=64 g입니다.","0","0"
"mole_mass_mass_003","화학","화학량론","초급","numeric","N2 0.5 mol의 질량은 몇 g인가? (몰질량 28 g/mol)","","0.5×28=14 g입니다.","0","0"
"mole_mass_mass_004","화학","화학량론","초급","numeric","Cl2 1.5 mol의 질량은 몇 g인가? (몰질량 71 g/mol)","","1.5×71=106.5 g입니다.","0","0"
"mole_mass_mass_005","화학","화학량론","초급","numeric","H2O 1 mol의 질량은 몇 g인가? (몰질량 18 g/mol)","","1×18=18 g입니다.","0","0"
"mole_mass_mass_006","화학","화학량론","초급","numeric","CO2 2 mol의 질량은 몇 g인가? (몰질량 44 g/mol)","","2×44=88 g입니다.","0","0"
"mole_mass_mass_007","화학","화학량론","초급","numeric","CO 0.5 mol의 질량은 몇 g인가? (몰질량 28 g/mol)","","0.5×28=14 g입니다.","0","0"
"mole_mass_mass_008","화학","화학량론","초급","numeric","NH3 1.5 mol의 질량은 몇 g인가? (몰질량 17 g/mol)","","1.5×17=25.5 g입니다.","0","0"
"mole_mass_mass_009","화학","화학량론","중급","numeric","CH4 1 mol의 질량은 몇 g인가? (몰질량 16 g/mol)","","1×16=16 g입니다.","0","0"
"mole_mass_mass_010","화학","화학량론","중급","numeric","HCl 2 mol의 질량은 몇 g인가? (몰질량 36.5 g/mol)","","2×36.5=73 g입니다.","0","0"
"mole_mass_mass_011","화학","화학량론","중급","numeric","H2S 0.5 mol의 질량은 몇 g인가? (몰질량 34 g/mol)","","0.5×34=17 g입니다.","0","0"
"mole_mass_mass_012","화학","화학량론","중급","numeric","SO2 1.5 mol의 질량은 몇 g인가? (몰질량 64 g/mol)","","1.5×64=96 g입니다.","0","0"
"mole_mass_mass_013","화학","화학량론","중급","numeric","SO3 1 mol의 질량은 몇 g인가? (몰질량 80 g/mol)","","1×80=80 g입니다.","0","0"
"mole_mass_mass_014","화학","화학량론","중급","numeric","NO 2 mol의 질량은 몇 g인가? (몰질량 30 g/mol)","","2×30=60 g입니다.","0","0"
"mole_mass_mass_015","화학","화학량론","중급","numeric","NO2 0.5 mol의 질량은 몇 g인가? (몰질량 46 g/mol)","","0.5×46=23 g입니다.","0","0"
"mole_mass_mass_016","화학","화학량론","중급","numeric","N2O 1.5 mol의 질량은 몇 g인가? (몰질량 44 g/mol)","","1.5×44=66 g입니다.","0","0"
"mole_mass_mass_017","화학","화학량론","고급","numeric","NaCl 1 mol의 질량은 몇 g인가? (몰질량 58.5 g/mol)","","1×58.5=58.5 g입니다.","0","0"
"mole_mass_mass_018","화학","화학량론","고급","numeric","MgO 2 mol의 질량은 몇 g인가? (몰질량 40 g/mol)","","2×40=80 g입니다.","0","0"
"mole_mass_mass_019","화학","화학량론","고급","numeric","CaO 0.5 mol의 질량은 몇 g인가? (몰질량 56 g/mol)","","0.5×56=28 g입니다.","0","0"
"mole_mass_mass_020","화학","화학량론","고급","numeric","KCl 1.5 mol의 질량은 몇 g인가? (몰질량 74.5 g/mol)","","1.5×74.5=111.75 g입니다.","0","0"
"mole_mass_amount_001","화학","화학량론","중급","numeric","NaOH 20 g은 몇 mol인가? (몰질량 40 g/mol)","","20÷40=0.5 mol입니다.","0","0"
"mole_mass_amount_002","화학","화학량론","중급","numeric","KOH 56 g은 몇 mol인가? (몰질량 56 g/mol)","","56÷56=1 mol입니다.","0","0"
"mole_mass_amount_003","화학","화학량론","중급","numeric","MgCl2 190 g은 몇 mol인가? (몰질량 95 g/mol)","","190÷95=2 mol입니다.","0","0"
"mole_mass_amount_004","화학","화학량론","중급","numeric","CaCl2 166.5 g은 몇 mol인가? (몰질량 111 g/mol)","","166.5÷111=1.5 mol입니다.","0","0"
"mole_mass_amount_005","화학","화학량론","중급","numeric","Al2O3 51 g은 몇 mol인가? (몰질량 102 g/mol)","","51÷102=0.5 mol입니다.","0","0"
"mole_mass_amount_006","화학","화학량론","중급","numeric","Na2O 62 g은 몇 mol인가? (몰질량 62 g/mol)","","62÷62=1 mol입니다.","0","0"
"mole_mass_amount_007","화학","화학량론","중급","numeric","K2O 188 g은 몇 mol인가? (몰질량 94 g/mol)","","188÷94=2 mol입니다.","0","0"
